ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22033	ENG MATH 3	ریاضی مهندسی 3	نظری	کارشناسی	3		22031		
22034	DIFF EQN	معادلات دیفرانسیل	نظری	کارشناسی	3	22016		ترم پاییز 95-96	باقرپور و منیفی و مستفید
22035	ENG MATH	ریاضی مهندسی	نظری	کارشناسی	3		22034	ترم پاییز 95-96	رجبی و منیفی و باقرپور
22036	APPL MATH 2	ریاضی کاربردی 2	نظری	کارشناسی	2		 22019 و 22017		
22037	INTRO COMPLEX VAR 	آشنایی با توابع مختلط	نظری	کارشناسی	2		 22034 و 22016		
22038	DIFF EQN	معادلات دیفرانسیل	نظری	کارشناسی	4	22016			
22039	INTRO PDE 	آشنایی با معادلاتدیفرانسیل با مشتقاتجزئی	نظری	کارشناسی	2		 22034 و 22016		
22040	INTRO TO MATH	آشنایی با ریاضیات	نظری	کارشناسی	1				
22041	INTRO COMPLEX VAR 	آشنایی با توابع مختلط	نظری	کارشناسی	3		 22034 و 22016		
22042	INTRO PDE 	آشنایی با معادلاتدیفرانسیل با مشتقاتجزئی	نظری	کارشناسی	3		 22034 و 22016		
22043	I.CONTROLTHEORY	مقدمه ای بر نظریه کنترل	نظری	کارشناسی ارشد	2		 22122 یا 22028		
22044	QUEUEING THEORY	نظریه صف	نظری	کارشناسی	4				
22045	TOPICSINALGEBRA	مباحثی در جبر	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	پورنکی
22046	GENERAL MATH 1	ریاضی عمومی 1	نظری	کارشناسی	3				
22047	GENERAL MATH 2	ریاضی عمومی 2	نظری	کارشناسی	3				
22050	NONSTAND THEORY SEM	سمینار نظریه های غیراستاندارد	سمینار	کارشناسی ارشد	1				
22060	GAME THEORY SEM	سمینار نظریه بازیها	سمینار	کارشناسی ارشد	2				
22061	PROB & APPL	احتمال و کاربرد آن	نظری	کارشناسی	3		22015		
22062	STATISTICAL COMPU	محاسبات آماری	نظری	مشترک	3		 22014 و 22013 و 22061		
22063	ENG PROB & STAT 	آمار و احتمال مهندسی	نظری	کارشناسی	3		22015	ترم پاییز 95-96	تقوی طلب
22064	STAT & APPL	آمار و کاربرد آن	نظری	کارشناسی	4		22089	ترم پاییز 95-96	میرصادقی
22065	DATA ANALYSIS	تحلیل داده ها	نظری	کارشناسی	4			ترم پاییز 95-96	علیشاهی و احیایی
22070	INTRO COMPUTER SCI	آشنایی با علوم کامپیوتر	نظری	کارشناسی	1				
22071	NUM COMPUTATION 	محاسبات عددی	نظری	کارشناسی	2		22034		
22072	NUM COMPUTATION	محاسبات عددی	نظری	کارشناسی	3		22034	ترم پاییز 95-96	مهدوی امیری
22080	BSC PROJECT	پروژه کارشناسی	پروژه	کارشناسی	3			ترم پاییز 95-96	خودت
22081	TRAINING	کارآموزی	کارآموزی	کارشناسی	0				
22085	ELEM PROB & STAT	آمار و احتمال مهندسی	نظری	کارشناسی	3				
22087	ELEM MATH STAT	آمار ریاضی مقدماتی	نظری	کارشناسی	3		22085		
22089	PROB & APPL	احتمال و کاربرد آن	نظری	کارشناسی	4		22016	ترم پاییز 95-96	ظهوری زنگنه
22090	BSC PROJECT	پروژه کارشناسی	پروژه	کارشناسی	3				
22098	PREREQ MATH 	ریاضی تقویتی	نظری	کارشناسی	4				
22099	INTRO MATH	ریاضی تقویتی	نظری	کارشناسی	3				
22100	MATH EDUC SEM	سمینارآموزش ریاضی	سمینار	کارشناسی ارشد	1				
22110	REC THEORY SEM	سمینار نظریه بازگشتی	سمینار	کارشناسی ارشد	1				
22115	LANG MATH	زبان ریاضی	نظری	کارشناسی	2		 31101 یا 31124		
22116	LANG MATH 2	زبان ریاضی 2	نظری	کارشناسی	1				
22117	ADV LANG MATH	زبان ریاضی پیشرفته	نظری	کارشناسی ارشد	2				
22118	COMBIN AND APPL	ترکیبات و کاربردهای آن	نظری	کارشناسی	4		22825	ترم پاییز 95-96	قاجار
22119	HEYTING ARITH	حساب شهودگرایی	نظری	کارشناسی ارشد	4				
22120	MODEL THEORY SEM	سمینار نظریه مدلها	سمینار	کارشناسی ارشد	1				
22121	HISTORY OF MATH 	تاریخ ریاضیات	نظری	کارشناسی	3		22012		
22122	ELLIPTICEQUATIONS	معادلات بیضوی خطی و نیمه خطی	نظری	کارشناسی ارشد	2		22118		
22123	HISTORY OF MATH 	تاریخ ریاضیات	نظری	کارشناسی	2				
22124	ADVANCED LOGIC	منطق پیشرفته	نظری	کارشناسی ارشد	4				
22125	TOPICS IN LOGIC 	مباحثی در منطق ریاضی	نظری	کارشناسی ارشد	4				
22126	PHIL OF MATH 	فلسفه ریاضیات	نظری	مشترک	2				
22127	TOPICS IN MATH LOGIC	مباحثی در منطق ریاضی	نظری	کارشناسی ارشد	4				
22128	CONSTRUCT MATH	ریاضیات ساختی	نظری	کارشناسی ارشد	4				
22129	PHIL OF SCIENCE	فلسفه علم	نظری	کارشناسی	3				
22130	SEM MATH LOGIC	سمینار منطق ریاضی	سمینار	کارشناسی ارشد	1				
22131	MATH LOGIC	منطق ریاضی	نظری	کارشناسی	3			ترم پاییز 95-96	اردشیر
22132	SET THEORY	نظریه مجموعه ها	نظری	کارشناسی	3		22142		
22133	INTRO SET THEORY	نظریه مقدماتی مجموعه ها	نظری	کارشناسی	4		22015		
22134	SET THEORY	نظریه مجموعه ها	نظری	کارشناسی ارشد	4				
22135	FOUND MATH	مبانی ریاضیات	نظری	کارشناسی	3		22015		
22136	ARITH MODEL SET THEORY	مدلهای حساب و نظریه مجموعه ها	نظری	کارشناسی ارشد	4				
22137	MODEL THEORY	نظریه مدلها	نظری	کارشناسی ارشد	4				
22138	RECURSION THEORY	نظریه بازگشتی	نظری	کارشناسی ارشد	4				
22139	MODEL THEORY 2	نظریه مدلها 2	نظری	کارشناسی ارشد	4		22137		
22140	NERVOUS NET SEM	سمینار شبکه عصبی	سمینار	کارشناسی ارشد	1				
22141	MATH LOGIC	منطق ریاضی	نظری	کارشناسی	3		22135		
22142	FOUND MATH	مبانی ریاضیات	نظری	کارشناسی	4				
22143	NEURAL COMPU	محاسبات نورولی	نظری	کارشناسی	4				
22144	MATH LOGIC	منطق ریاضی	نظری	کارشناسی	4		 22142 یا 22133		
22145	PHIL LOGIC 	منطق فلسفی	نظری	کارشناسی ارشد	4				
22146	ADMISS SET THEORY	نظریه مجموعه های پذیرفتنی	نظری	کارشناسی ارشد	4		 22137 و 22138		
22147	REC MODEL THEORY	نظریه بازگشتی مدلها	نظری	کارشناسی ارشد	4		22137		
22148	TOPICS IN MODEL THEORY	مباحثی در نظریه مدل و بازگشت	نظری	کارشناسی ارشد	4				
22149	CONVEX POLYTOP 	پلیتوپهای محدب	نظری	کارشناسی ارشد	4				
22150	GRAPH THEORY SEM	سمینار نظریه گراف	سمینار	مشترک	1				
22151	GRAPH THEORY 1	نظریه گراف 1	نظری	مشترک	4		 22211 و 22261	ترم پاییز 95-96	فروغمند
22152	GRAPH THEORY 2	نظریه گراف 2	نظری	کارشناسی ارشد	4				
22153	GRAPH THEORY	نظریه گراف	نظری	کارشناسی	3		22217		
22154	COMBIN ANALYSIS 1	آنالیز ترکیبی 1	نظری	کارشناسی ارشد	4				
22155	COMBIN ANALYSIS 1	آنالیز ترکیبی 1	نظری	کارشناسی	3		22826		
22156	COMBIN ANALYSIS 1	آنالیز ترکیبی 1	نظری	کارشناسی	3		22826		
22157	COMBIN ANALYSIS 2	آنالیز ترکیبی 2	نظری	کارشناسی ارشد	4		22156		
22158	TOPICS IN COMBIN ANALYSIS	مباحثی در آنالیز ترکیبی	نظری	کارشناسی ارشد	4				
22159	TOPICS IN COMBIN ANALYSIS 	مباحثی در آنالیز ترکیبی	نظری	کارشناسی ارشد	3				
22160	SEM COMBIN MATH 	سمینار ریاضیات ترکیبی	سمینار	کارشناسی ارشد	1				
22161	REV HIGHSCHOOL TEXTS	مروری بر دروس دبیرستانی	نظری	کارشناسی	2				
22162	GRAPH THEORY & APPL	نظریه گراف و کاربرد آن	نظری	کارشناسی	4		22825		
22163	MATH EDUCATION 1	آموزش ریاضی 1	نظری	کارشناسی	2				
22164	TOPICS IN GRAPH 	مباحثی در نظریه گراف	نظری	کارشناسی ارشد	2				
22165	PHIL OF EDUCATION	فلسفه آموزش	نظری	کارشناسی	3				
22166	FOUND CURRIC DEVPT	مبانی برنامهریزی آموزشی	نظری	کارشناسی	2				
22167	PSYCH OF EDUC	روانشناسی آموزشی	نظری	کارشناسی	2				
22168	PSYCH OF ADOLESC	روانشناسی آموزشی پیشرفته	نظری	کارشناسی	2				
22169	PRIN OF COUNCELING	اصول مشاوره	نظری	کارشناسی	2				
22170	LEAR THEORY SEM	سمینار نظریه یادگیری	سمینار	کارشناسی ارشد	1				
22171	EDUC TECH 	تعلیم و تربیت	نظری	کارشناسی	2				
22172	EDUC ADMIN 	مدیریت آموزش	نظری	کارشناسی	2				
22173	GEN TEACH METHOD 	روشهای عمومی تدریس	نظری	کارشناسی	3				
22174	SP TEACH METHOD 	روشهای خاص تدریس	نظری	کارشناسی	3				
22175	TEACHING PRACTICE	تمرین دبیری	نظری	کارشناسی	4				
22176	ISLAMIC ETHICS	اخلاق اسلامی	نظری	کارشناسی	2				
22177	TEACHING PRACTICE 1	تمرین دبیری 1	نظری	کارشناسی	2				
22178	TEACHING PRACTICE 2	تمرین دبیری 2	نظری	کارشناسی	2				
22179	EDUC EVALUATION	ارزیابی تدریس	نظری	کارشناسی	2				
22180	K THEORY SEM	سمینار نظریه کا	سمینار	کارشناسی ارشد	1				
22181	MATH EDUC	مباحثی در آموزش ریاضیات	نظری	کارشناسی ارشد	4				
22182	GRAPH THEORY 1	نظریه گراف 1	نظری	کارشناسی ارشد	4				
22183	SEM GRAPH THEORY	سمینار نظریه گراف	سمینار	کارشناسی ارشد	1				
22184	SEM ALG GRAPH THEORY	سمینار نظریه جبری گراف	سمینار	کارشناسی ارشد	1				
22185	SEM GRAPH ALGOR	سمینار نظریه گراف و الگوریتمهای آن	سمینار	کارشناسی ارشد	1				
22186	TOPICS IN COMBIN	مباحثی در ترکیبات	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	علیشاهی
22187	TOPICS IN GRAPH	مباحثی در نظریه گراف	نظری	کارشناسی ارشد	4				
22188	COMBINATORICS	ترکیبیات	درس پروژه دار	کارشناسی ارشد	3				
22190	COMM ALG SEM	سمینار جبر جابجایی	سمینار	کارشناسی ارشد	1				
22191	TOPICS IN NUM THEORY	مباحثی در نظریه اعداد	نظری	کارشناسی ارشد	4				
22196	INTRO ALG NUM THEORY	آشنایی با نظریه جبری اعداد	نظری	کارشناسی	4		 22215 و 22217		
22197	ARITH ELLIPTIC CURVES	حساب خمهای بیضوی	نظری	کارشناسی ارشد	4		22219		
22198	ALG NUM THEORY 2	نظریه جبری اعداد 2	نظری	کارشناسی ارشد	4				
22199	ALG NUM THEORY	نظریه جبری اعداد	نظری	کارشناسی ارشد	4		 22219 و 22215		
22200	ALG NUM THEORY SEM	سمینار نظریه جبری اعداد	سمینار	کارشناسی ارشد	1				
22209	UNDERGRAD ALGEBRA 3	جبر 3 کارشناسی	نظری	کارشناسی	4		22217	ترم پاییز 95-96	غلامزاده محمودی
22210	ALGEBRA SEM	سمینار جبر	سمینار	مشترک	1				
22211	MODERN ALGEBRA 1	جبر مدرن 1	نظری	کارشناسی	4		22012		
22212	MODERN ALGEBRA 2	جبر مدرن 2	نظری	کارشناسی	3				
22213	MODERN ALGEBRA 2	جبر مدرن 2	نظری	مشترک	4		 22211 و 22261		
22214	TOPICS IN NUM THEORY 	مباحثی در نظریه اعداد	نظری	کارشناسی	2		22142		
22215	NUMBER THEORY	نظریه اعداد	نظری	کارشناسی	4		22217	ترم پاییز 95-96	احدی
22216	ALGEBRA 	جبر	نظری	کارشناسی	5				
22217	ALGEBRA 1	جبر 1	نظری	کارشناسی	4			ترم پاییز 95-96	مهدوی هزاوهء
22218	ALGEBRA 2	جبر 2	نظری	کارشناسی	4		22217		
22219	ALGEBRA 3	جبر 3	نظری	کارشناسی ارشد	4		22218		
22220	NUMBER THEORY 	نظریه اعداد	نظری	کارشناسی ارشد	1				
22221	NUMBER THEORY 	نظریه اعداد	نظری	کارشناسی	3		22012		
22222	ARITH GROUPS 	گروه های حسابی	نظری	کارشناسی ارشد	4				
22223	NUMBER THEORY 	نظریه اعداد	نظری	کارشناسی	3		22142		
22224	VALUATION THEORY	نظریه ارزیابی	نظری	کارشناسی ارشد	4		22219	ترم پاییز 95-96	مهدوی هزاوهء
22225	ADV NUMBER THEORY	نظریه پیشرفته اعداد	نظری	کارشناسی	4		22218		
22226	ADVANCED ALGEBRA	جبر پیشرفته	نظری	کارشناسی ارشد	4		22218	ترم پاییز 95-96	غلامزاده محمودی
22227	NUMBER THEORY	نظریه اعداد	نظری	کارشناسی ارشد	4				
22228	TOPICS IN K THEORY	مباحثی در نظریه K	نظری	کارشناسی ارشد	4		22219		
22229	HIGHER ALGEBRA	جبر پیشرفته	نظری	کارشناسی ارشد	4		22212		
22230	GRAPH THEORY SEM	سمینار نظریه گراف	سمینار	کارشناسی ارشد	1				
22231	FIELD THEORY	نظریه میدانها	نظری	مشترک	3				
22232	GALOIS THEORY 	نظریه گالوا	نظری	کارشناسی	3		22218		
22233	ALG COMBIN	ترکیبات جبری	نظری	کارشناسی ارشد	4				
22234	ALG GRAPH THEORY	نظریه جبری گراف	نظری	کارشناسی ارشد	4		 22255 و 22826	ترم پاییز 95-96	اکبری
22235	ALGORITMS IN GRAPH	الگوریتمهایی در نظریه گراف	نظری	کارشناسی ارشد	2				
22236	  	  	نظری	کارشناسی	4				
22237	DIVISION RING 	حلقه های تقسیم	نظری	کارشناسی ارشد	4		22219		
22238	ARITH GEOMETRY	هندسه حسابی	نظری	کارشناسی ارشد	4				
22240	SEM RING THEORY 	سمینار نظریه حلقه ها	سمینار	کارشناسی ارشد	1			ترم پاییز 95-96	مهدوی هزاوهء
22241	RING THEORY 	نظریه حلقه ها	نظری	مشترک	4		22211		
22243	COMM ALGEBRA	جبر جابجایی	نظری	کارشناسی ارشد	4		22219		
22244	NONCOMM ALGEBRA	جبر غیرجابجایی	نظری	کارشناسی ارشد	4		22219		
22245	COMM ALGEBRA 2	جبر جابجایی 2	نظری	کارشناسی ارشد	4		22243		
22246	HOMOLOGICAL ALG 	جبر همولوژی	نظری	کارشناسی ارشد	4		22219		
22247	HOMOLOGICAL ALG 2	جبر همولوژی 2	نظری	کارشناسی ارشد	4		22246		
22248	NONCOMM RING 	حلقه های غیرجابجایی	نظری	کارشناسی ارشد	4		22219		
22249	NONCOMM RING 2	حلقه های غیرجابجایی 2	نظری	کارشناسی ارشد	4		22248		
22250	SEM LIE ALGEBRA	سمینار جبر لی	سمینار	کارشناسی ارشد	1				
22251	LIE ALGEBRA	جبر لی	نظری	کارشناسی ارشد	4		22219		
22252	HOMOLOGICAL METHODS, COMMALG	روشهای همولوژیکی در جبر جابه جایی	نظری	کارشناسی ارشد	4		22226		
22253	LIN ALGEBRA 	جبر خطی	نظری	کارشناسی	5				
22254	ADV LIN ALGEBRA	جبر خطی پیشرفته	نظری	کارشناسی ارشد	4				
22255	LIN ALG 1	جبر خطی 1	نظری	کارشناسی	4		22016	ترم پاییز 95-96	رنجبر مطلق
22256	INTRO LIN ALG	آشنایی با جبر خطی	نظری	کارشناسی	3		22016	ترم پاییز 95-96	قاجار
22257	LIN ALG 1	جبر خطی 1	نظری	کارشناسی	3		22016		
22258	LIN ALG 2	جبر خطی 2	نظری	کارشناسی ارشد	3		22255		
22259	NUM LIN ALG 	جبر خطی عددی	نظری	کارشناسی ارشد	4				
22260	SEMIGROUPS SEM 	سمینار نظریه نیمگروه ها	سمینار	کارشناسی ارشد	1				
22261	LINEAR ALGEBRA	جبر خطی	نظری	کارشناسی	3		22012		
22263	MATRIX THEORY & APPL 	نظریه ماتریسها و کاربرد آن	نظری	کارشناسی	3		22261		
22270	ALGEBRA SEM	سمینار جبر	سمینار	کارشناسی ارشد	1				
22271	CATEGORY THEORY	نظریه کاتگوری	نظری	کارشناسی ارشد	3		22226		
22272	CATEGORY THEORY 	نظریه کاتگوری	نظری	کارشناسی ارشد	4				
22273	TOPOS THEORY	نظریه توپوس	نظری	کارشناسی ارشد	4				
22274	CATEGORY THEORY & APPL	نظریه رسته و کاربردهای آن	نظری	کارشناسی	4				
22275	SEMIGROUP OF LIN OP 	نظریه نیمگروه عملگرهای خطی	نظری	کارشناسی ارشد	4				
22276	SEMIGROUP LIN OP 2	نظریه نیمگروه عملگرهای خطی 2	نظری	کارشناسی ارشد	4		22275		
22277	NONLIN SEMIGROUP	نظریه نیمگروه عملگرهای غیرخطی	نظری	کارشناسی ارشد	4				
22280	CATEGORY SEM	سمینار کاتگوری	سمینار	کارشناسی ارشد	1				
22281	GROUP THEORY	نظریه گروه ها	نظری	مشترک	3		22213		
22282	FINITE GROUPS 	گروه های متناهی	نظری	کارشناسی ارشد	4		22218		
22283	PER GROUPS	گروه های جایگشتی	نظری	کارشناسی ارشد	4		22226		
22284	GROUP THEORY	نظریه گروه ها	نظری	کارشناسی ارشد	4				
22285	LINEAR GROUPS 	گروه های خطی	نظری	کارشناسی ارشد	4		22218		
22286	FINITE ELEMENT METD	روش اجزاء متناهی	نظری	کارشناسی ارشد	4				
22289	CODING THEORY	نظریه کدگزاری	نظری	کارشناسی ارشد	4				
22290	TOPICS IN BIO MATH	مباحثی در ریاضیات زیستی	نظری	کارشناسی ارشد	4				
22291	APPLIED ALGEBRA 	جبر کاربسته	نظری	کارشناسی	3		 22217 و 22255		
22295	BIOMATH	ریاضیات زیستی	نظری	کارشناسی ارشد	4				
22310	APPLIED MATH SEM	سمینار ریاضیات کاربردی	سمینار	مشترک	1				
22311	TOPICS IN APPL MATH 2	مباحثی در ریاضیات کاربردی 2	نظری	مشترک	3				
22312	TOPICS IN APPL MATH	مباحثی در ریاضیات کاربردی	نظری	کارشناسی ارشد	3				
22316	APPLIED MATH 1	ریاضی کاربردی 1	نظری	کارشناسی	3				
22317	APPLIED MATH 2	ریاضی کاربردی 2	نظری	مشترک	3		 22322 و 22261		
22319	VECTOR & TENSOR ANALYSIS	آنالیز برداری و تانسوری	نظری	کارشناسی	4				
22321	INTRO ANALYSIS 1	آشنایی با آنالیز 1	نظری	کارشناسی	4		22012		
22322	INTRO ANALYSIS 2	آشنایی با آنالیز 2	نظری	کارشناسی	5				
22323	INTRO ANALYSIS 2	آشنایی با آنالیز 2	نظری	کارشناسی	4		22321		
22324	INTRO ANALYSIS 3	آشنایی با آنالیز 3	نظری	مشترک	4		22321		
22325	MATH ANALYSIS 1	آنالیز ریاضی 1	نظری	کارشناسی	4			ترم پاییز 95-96	صفدری
22326	MATH ANALYSIS 2	آنالیز ریاضی 2	نظری	کارشناسی	4		22325		
22327	MATH ANALYSIS 3	آنالیز ریاضی 3	نظری	کارشناسی ارشد	4		 22325 و 22255		
22328	MATH ANALYSIS 3	آنالیز ریاضی 3	نظری	کارشناسی	4		 22325 و 22255		
22329	MEASURE THEORY	نظریه اندازه	نظری	کارشناسی	3				
22330	GEOMETRY GROUP SEM	سمینار نظریه هندسی گروه ها	سمینار	کارشناسی ارشد	1				
22331	MEASURE THEORY	نظریه اندازه	نظری	مشترک	4		22322		
22333	MATH ANALYSIS 3	آنالیز ریاضی 3	نظری	کارشناسی	4		 22325 و 22255		
22334	FOURIER ANALYSIS & APPL	آنالیز فوریه و کاربرد آن	نظری	کارشناسی	4		22326		
22335	COMPLEX ANAL 1	توابع مختلط 1	نظری	کارشناسی	4		22325		
22336	APPL ANALYSIS 1	آنالیز کاربردی 1	نظری	کارشناسی ارشد	3				
22337	APPL ANALYSIS 2	آنالیز کاربردی 2	نظری	کارشناسی ارشد	3		22325		
22338	INTRO PROB THEORY	نظریه مقدماتی احتمال	نظری	کارشناسی	4		 22089 و 22326		
22339	INTRO ANALYSIS 1	آشنایی با آنالیز 1	نظری	کارشناسی	5				
22340	COMPLEX ANALYSIS SEM	سمینار آنالیز مختلط	سمینار	کارشناسی ارشد	1				
22341	COMPLEX ANALYSIS	آنالیز مختلط	نظری	مشترک	4		22322		
22342	COMPLEX ANALYSIS	آنالیز مختلط	نظری	کارشناسی ارشد	4		22341		
22345	COMPLEX ANALYSIS	آنالیز مختلط	نظری	کارشناسی ارشد	4		 22326 و 22335		
22346	TOPICS IN COMPLEX ANAL 	مباحثی در آنالیز مختلط	نظری	کارشناسی ارشد	4		22345		
22351	SEVERAL COMPLEX VAR	توابع چند متغیره مختلط	نظری	کارشناسی ارشد	4		22345		
22359	INTRO ANALYSIS 2	آشنایی با آنالیز 2	نظری	کارشناسی	4				
22369	COMPLEX ANALYSIS	آنالیز مختلط	نظری	کارشناسی	3				
22370	INTEGRAL EQN SEM	سمینار معادلات انتگرال	سمینار	کارشناسی ارشد	1				
22371	SPECIAL FUNCTIONS 	توابع ویژه	نظری	مشترک	3		22341		
22374	MECH CONT MED 	کنترل مکانیکی	نظری	کارشناسی	3		24016		
22375	INTRO DYN SYS 	آشنایی با سیستمهای دینامیکی	نظری	کارشناسی	4		 22255 و 22325		
22376	DIFF EQUATION 2	معادلات دیفرانسیل 2	نظری	کارشناسی	4		22038		
22378	DIFF EQN DYN SYS	سیستمهای دینامیکی معادلات دیفرانسیل	نظری	کارشناسی ارشد	4				
22379	VECTOR & TENSOR ANALYSIS	آنالیز تانسوری	نظری	کارشناسی	3				
22380	DIFF EQN SEM	سمینار معادلات دیفرانسیل	سمینار	کارشناسی ارشد	1			ترم پاییز 95-96	حصارکی
22381	DIFF EQN	معادلات دیفرانسیل	نظری	کارشناسی	3		22031		
22382	THEORY DIFF EQN 2	نظریه معادلات دیفرانسیل 2	نظری	کارشناسی	3		 22031 و 22261		
22383	DIFF EQN	معادلات دیفرانسیل	نظری	مشترک	4		 22321 و 22261		
22384	INTRO ODE THEORY	نظریه مقدماتی معادلات دیفرانسیل عادی	نظری	کارشناسی	4		 22255 و 22325		
22385	THEORY OF ODE 	نظریه معادلات دیفرانسیل عادی	نظری	کارشناسی ارشد	4		 22412 و 22325	ترم پاییز 95-96	حصارکی
22386	DYNAMICAL SYSTEMS 	سیستمهای دینامیکی	نظری	کارشناسی ارشد	4		22412	ترم پاییز 95-96	میرصادقی و نصیری
22387	DYNAMICAL SYSTEMS 2	سیستمهای دینامیکی 2	نظری	کارشناسی ارشد	4				
22388	INTEGRAL EQN	معادلات انتگرال	نظری	مشترک	3		22322		
22389	DIFF EQN	معادلات دیفرانسیل	نظری	کارشناسی	4				
22390	TOPICS IN APPL MATH	مباحثی در ریاضیات کاربردی	نظری	کارشناسی ارشد	1				
22391	PERTURBATION THEORY	نظریه اختلال	نظری	کارشناسی	3				
22392	PERTERBATION THEORY	نظریه اختلال	نظری	کارشناسی	3				
22393	POTENTIAL THEORY	نظریه پتانسیل	نظری	کارشناسی ارشد	2				
22394	ELEM PDE	معادلات دیفرانسیل با مشتقات جزئی	نظری	کارشناسی	3		22326		
22395	ELEM PDE	معادلات دیفرانسیل با مشتقات جزئی	نظری	کارشناسی	4		22326		
22396	THEORY PAR DIFF EQN	نظریه معادلات دیفرانسیل با مشتقات جزئی	نظری	کارشناسی ارشد	3				
22397	THEORY PDE	نظریه معادلات دیفرانسیل پارهای	نظری	کارشناسی ارشد	4		22412		
22398	THEORY PDE 2	نظریه معادلات دیفرانسیل پارهای 2	نظری	کارشناسی ارشد	4		22412		
22399	INTRO ANALYSIS 	آشنایی با آنالیز	نظری	کارشناسی	5				
22400	POTENTIAL THEORY SEM 	سمینار نظریه پتانسیل	نظری	کارشناسی ارشد	1				
22401	TOPICS IN PDE 	معادلات دیفرانسیل با مشتقات پارهای	نظری	کارشناسی ارشد	2				
22402	TOPICS IN PDE 	مباحثی در نظریه معادلات دیفرانسیل پارهای	نظری	کارشناسی ارشد	4				
22403	TOPICS IN DYN SYS 	مباحثی در دستگاه های دینامیکی	نظری	کارشناسی ارشد	4				
22404	NUM SPDE	معادلات دیفرانسیل پاره ای تصادفی عددی	نظری	کارشناسی ارشد	3		31119		
22408	HYPERBOLIC PDE	نظریه معادلات دیفرانسیل پارهای هذلولوی	نظری	کارشناسی ارشد	4				
22409	PARABOLIC PDES THEORY	نظریه معادلات دیفرانسیل پارهای سهموی	نظری	کارشناسی ارشد	4		22397		
22410	ANALYSIS SEM	سمینار آنالیز	سمینار	مشترک	1				
22411	REAL ANALYSIS 	آنالیز حقیقی	نظری	مشترک	4		22322		
22412	REAL ANALYSIS 	آنالیز حقیقی	نظری	کارشناسی ارشد	4		 22333 یا 22326	ترم پاییز 95-96	شریفی تبار
22413	INTRO MEASURE THEORY	نظریه مقدماتی اندازه	نظری	کارشناسی	4		22325		
22414	REAL ANALYSIS 2	آنالیز حقیقی 2	نظری	کارشناسی ارشد	4		22412		
22415	REAL ANALYSIS 	آنالیز حقیقی	نظری	کارشناسی	3				
22419	REAL ANALYSIS 	آنالیز حقیقی	نظری	کارشناسی	2				
22450	SEM DYN SYSTEMS 	سمینار سیستمهای دینامیکی	سمینار	کارشناسی ارشد	1				
22460	CHAOS SEM 	سمینار آشوب ریاضی	سمینار	کارشناسی ارشد	1				
22470	GEOM OF SPACE & TIME	هندسه فضا و زمان	نظری	کارشناسی	1				
22471	FUNCTIONAL ANALYSIS 	آنالیز تابعی	نظری	کارشناسی ارشد	4		22412		
22472	FUNCTIONAL ANALYSIS 2	آنالیز تابعی 2	نظری	کارشناسی ارشد	4		22471		
22473	OPERATOR THEORY 1	نظریه عملگرها 1	نظری	کارشناسی ارشد	4		22471		
22474	APPL FUNC ANALYSIS	آنالیز تابعی کاربردی	نظری	کارشناسی ارشد	4		22412		
22475	ELEM FUNC ANALYSIS	آنالیز تابعی مقدماتی	نظری	کارشناسی	4		22326	ترم پاییز 95-96	فتوحی
22480	FUNCTIONAL ANALYSIS SEM	سمینار آنالیز تابعی	سمینار	کارشناسی ارشد	1				
22481	FUNCTIONAL ANALYSIS 	آنالیز تابعی	نظری	کارشناسی ارشد	3			ترم پاییز 95-96	رنجبر مطلق
22482	HARMONIC ANALYSIS 1	آنالیز هارمونیک 1	نظری	کارشناسی ارشد	4		22412		
22485	BANACH ALGEBRA	جبر باناخ	نظری	کارشناسی ارشد	4				
22487	TOPICS IN ANALYSIS	مباحثی در آنالیز	نظری	کارشناسی ارشد	4		22412		
22490	TOPICS IN ANALYSIS	مباحثی در آنالیز	نظری	کارشناسی ارشد	1				
22491	CALCULUS OF VARIATIONS	حساب تغییرات	نظری	کارشناسی	3		22321		
22492	VAR METHOD ANALYSIS 	روشهای تغییراتی درآنالیز	نظری	کارشناسی ارشد	4		22397	ترم پاییز 95-96	فتوحی
22495	OPTIMAL CONTROL 	کنترل بهینه	نظری	کارشناسی ارشد	4				
22496	OPTIMAL CONTROL 	کنترل بهینه	نظری	مشترک	3		22031		
22497	CALCULUS OF VARIATIONS	حساب تغییرات	نظری	کارشناسی ارشد	4		22412		
22498	CONTROL THEORY	نظریه کنترل	نظری	کارشناسی ارشد	4				
22510	TOPOLOGY GEOM SEM 	سمینار هندسه توپولوژی	سمینار	مشترک	1				
22515	FOUND GEOMETRY	مبانی هندسه	نظری	کارشناسی	4		22142		
22516	FOUND GEOMETRY	مبانی هندسه	نظری	کارشناسی	3		22142		
22521	GEOMETRY	هندسه	نظری	کارشناسی	3				
22522	GEOMETRY	هندسه	نظری	کارشناسی	4		22211		
22530	TOPICS IN ALGEBRAIC GEOMETRY	مباحثی در هندسه جبری	نظری	کارشناسی ارشد	4				
