ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22654	MATRIX COMPU	محاسبات ماتریسی	نظری	کارشناسی ارشد	4				
22655	NUMERICAL ANALYSIS 1	آنالیز عددی 1	نظری	کارشناسی	4		22016	ترم پاییز 95-96	شریفی تبار
22656	NUMERICAL LIN ALG	روشهای عددی در جبر خطی	نظری	کارشناسی ارشد	4		22663		
22657	NUMERICAL ANALYSIS 2	آنالیز عددی 2	نظری	کارشناسی	4		22655		
22658	NUMERICAL PDE 	معادلات دیفرانسیل با مشتقات جزئی عددی	نظری	کارشناسی ارشد	4				
22659	INTRO NUM LIN ALG	آشنایی با روشهای عددی در جبر خطی	نظری	کارشناسی	4		 22655 و 22255		
22660	OPTIMIZATION SEM 	سمینار بهینهسازی	سمینار	کارشناسی ارشد	1			ترم پاییز 95-96	مهدوی امیری
22661	NUMERICAL ANALYSIS 1	آنالیز عددی 1	نظری	کارشناسی	3		 22016 و 40112 و 22034		
22662	NUMERICAL ANALYSIS 2	آنالیز عددی 2	نظری	کارشناسی	3		22661		
22663	ADV NUM ANALYSIS	آنالیز عددی پیشرفته	نظری	کارشناسی ارشد	4		22662	ترم پاییز 95-96	رزوان
22664	NONLIN OPTIMIZATION	بهینهسازی غیر خطی	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	مهدوی امیری
22665	ADV OPE RESEARCH 1	تحقیق در عملیات پیشرفته 1	نظری	کارشناسی ارشد	4		 22882 یا 21711		
22666	MODELING GEOM DSGN	مدلسازی و طراحی هندسی	نظری	کارشناسی ارشد	4				
22667	ADV NONLIN OPTI	بهینهسازی غیر خطی پیشرفته	نظری	کارشناسی ارشد	4		22664		
22668	APPROX THEORY 	نظریه تقریب	نظری	کارشناسی ارشد	4		22655		
22669	INTEGER PROG	برنامهریزی با اعداد صحیح	نظری	کارشناسی ارشد	4		22665		
22670	SEM MATH ASTRO	سمینار نجوم ریاضی	سمینار	کارشناسی ارشد	1				
22671	QUANTUM COMPUTATION	محاسبات کوانتومی	نظری	کارشناسی ارشد	2				
22675	TOPICS IN MATH MODELING	مباحثی در مدل سازی ریاضی	درس پروژه دار	کارشناسی ارشد	4				
22676	NUMERICAL SOLUTION OF SDE	حل عددی معادلات دیفرانسیل تصادفی	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	ظهوری زنگنه
22678	TOPICS IN NUM ANALYSIS	مباحثی در آنالیز عددی	نظری	کارشناسی ارشد	4		22663		
22679	TOPICS IN APPL MATH E	مباحثی در ریاضیات کاربردی	نظری	کارشناسی ارشد	2				
22680	APPL MATH PROJECT 	پروژه ریاضی کاربردی	پروژه	کارشناسی	1				
22681	SIMULATION	شبیهسازی	نظری	کارشناسی	3				
22682	DATA STRUCTURES 	ساختمان داده ها	نظری	مشترک	3		 22685 و 22923		
22683	PROGRAMING LANGUAGES	زبانهای برنامه نویسی	نظری	مشترک	3		 22685 و 22923		
22684	COMPUTER ORGANIZ	 سازمان کامپیوتر	نظری	مشترک	3		22923		
